frame,TP,FP,FN,precision,recall,mota
238,3,0,1,1.0,0.75,0.75
239,3,0,1,1.0,0.75,0.75
240,3,0,1,1.0,0.75,0.75
241,3,0,1,1.0,0.75,0.75
242,3,0,1,1.0,0.75,0.75
243,3,0,1,1.0,0.75,0.75
244,3,0,1,1.0,0.75,0.75
245,3,0,1,1.0,0.75,0.75
246,3,0,1,1.0,0.75,0.75
247,3,0,1,1.0,0.75,0.75
248,3,0,1,1.0,0.75,0.75
249,3,0,1,1.0,0.75,0.75
250,3,0,1,1.0,0.75,0.75
251,3,0,1,1.0,0.75,0.75
252,3,0,1,1.0,0.75,0.75
253,3,0,1,1.0,0.75,0.75
254,3,0,1,1.0,0.75,0.75
255,3,0,1,1.0,0.75,0.75
256,3,0,0,1.0,1.0,1.0
257,3,0,0,1.0,1.0,1.0
258,2,1,0,0.6666666666666666,1.0,0.5
259,2,1,0,0.6666666666666666,1.0,0.5
260,2,1,0,0.6666666666666666,1.0,0.5
261,2,1,0,0.6666666666666666,1.0,0.5
262,2,1,0,0.6666666666666666,1.0,0.5
263,2,1,0,0.6666666666666666,1.0,0.5
264,2,1,0,0.6666666666666666,1.0,0.5
265,2,1,0,0.6666666666666666,1.0,0.5
266,2,1,0,0.6666666666666666,1.0,0.5
267,2,1,0,0.6666666666666666,1.0,0.5
268,2,1,0,0.6666666666666666,1.0,0.5
269,2,1,0,0.6666666666666666,1.0,0.5
270,2,1,0,0.6666666666666666,1.0,0.5
271,2,1,0,0.6666666666666666,1.0,0.5
272,2,1,0,0.6666666666666666,1.0,0.5
273,2,1,0,0.6666666666666666,1.0,0.5
274,2,1,0,0.6666666666666666,1.0,0.5
275,2,1,0,0.6666666666666666,1.0,0.5
276,2,1,0,0.6666666666666666,1.0,0.5
277,2,1,0,0.6666666666666666,1.0,0.5
278,2,1,0,0.6666666666666666,1.0,0.5
279,2,0,0,1.0,1.0,1.0
280,2,0,0,1.0,1.0,1.0
281,2,0,0,1.0,1.0,1.0
282,2,0,0,1.0,1.0,1.0
283,2,0,0,1.0,1.0,1.0
284,2,0,0,1.0,1.0,1.0
285,2,0,0,1.0,1.0,1.0
286,2,0,0,1.0,1.0,1.0
287,2,0,0,1.0,1.0,1.0
288,2,0,0,1.0,1.0,1.0
289,2,0,0,1.0,1.0,1.0
290,2,0,0,1.0,1.0,1.0
291,2,0,0,1.0,1.0,1.0
292,2,0,0,1.0,1.0,1.0
293,2,0,0,1.0,1.0,1.0
294,2,0,0,1.0,1.0,1.0
295,2,0,0,1.0,1.0,1.0
296,2,0,0,1.0,1.0,1.0
297,2,0,0,1.0,1.0,1.0
298,2,0,0,1.0,1.0,1.0
299,2,0,0,1.0,1.0,1.0
300,2,0,0,1.0,1.0,1.0
301,2,0,0,1.0,1.0,1.0
302,2,0,0,1.0,1.0,1.0
303,1,0,1,1.0,0.5,0.5
304,2,0,0,1.0,1.0,1.0
305,2,0,0,1.0,1.0,1.0
306,2,0,0,1.0,1.0,1.0
307,2,0,0,1.0,1.0,1.0
308,2,0,0,1.0,1.0,1.0
309,1,0,1,1.0,0.5,0.5
310,1,0,1,1.0,0.5,0.5
311,1,0,1,1.0,0.5,0.5
312,1,0,1,1.0,0.5,0.5
313,2,0,0,1.0,1.0,1.0
314,2,0,0,1.0,1.0,1.0
315,2,0,0,1.0,1.0,1.0
316,2,0,0,1.0,1.0,1.0
317,1,0,1,1.0,0.5,0.5
318,1,0,1,1.0,0.5,0.5
319,1,0,1,1.0,0.5,0.5
320,1,0,1,1.0,0.5,0.5
321,1,0,1,1.0,0.5,0.5
322,1,0,1,1.0,0.5,0.5
323,1,0,1,1.0,0.5,0.5
324,1,0,1,1.0,0.5,0.5
325,1,0,1,1.0,0.5,0.5
326,1,0,1,1.0,0.5,0.5
327,1,0,1,1.0,0.5,0.5
328,1,0,1,1.0,0.5,0.5
329,1,0,1,1.0,0.5,0.5
330,1,0,1,1.0,0.5,0.5
331,1,0,1,1.0,0.5,0.5
332,2,0,0,1.0,1.0,1.0
333,1,0,1,1.0,0.5,0.5
334,1,0,1,1.0,0.5,0.5
335,2,0,0,1.0,1.0,1.0
336,2,0,0,1.0,1.0,1.0
337,2,0,0,1.0,1.0,1.0
338,2,0,0,1.0,1.0,1.0
339,1,0,1,1.0,0.5,0.5
340,1,0,1,1.0,0.5,0.5
341,2,0,0,1.0,1.0,1.0
342,2,0,0,1.0,1.0,1.0
343,2,0,0,1.0,1.0,1.0
344,1,0,1,1.0,0.5,0.5
345,1,0,1,1.0,0.5,0.5
346,1,0,1,1.0,0.5,0.5
347,1,0,1,1.0,0.5,0.5
348,1,0,1,1.0,0.5,0.5
349,1,0,1,1.0,0.5,0.5
350,1,0,1,1.0,0.5,0.5
351,1,0,1,1.0,0.5,0.5
352,1,0,1,1.0,0.5,0.5
353,1,0,1,1.0,0.5,0.5
354,1,0,1,1.0,0.5,0.5
355,1,0,1,1.0,0.5,0.5
356,1,0,1,1.0,0.5,0.5
357,1,0,1,1.0,0.5,0.5
358,1,0,1,1.0,0.5,0.5
359,1,0,1,1.0,0.5,0.5
360,1,0,1,1.0,0.5,0.5
361,1,0,1,1.0,0.5,0.5
362,1,0,1,1.0,0.5,0.5
363,1,0,1,1.0,0.5,0.5
364,1,0,1,1.0,0.5,0.5
365,2,0,0,1.0,1.0,1.0
366,2,0,0,1.0,1.0,1.0
367,1,0,1,1.0,0.5,0.5
368,2,0,0,1.0,1.0,1.0
369,2,0,0,1.0,1.0,1.0
370,2,0,0,1.0,1.0,1.0
371,2,0,0,1.0,1.0,1.0
372,2,0,0,1.0,1.0,1.0
373,2,0,0,1.0,1.0,1.0
374,2,0,0,1.0,1.0,1.0
375,2,0,0,1.0,1.0,1.0
376,2,0,0,1.0,1.0,1.0
377,2,0,0,1.0,1.0,1.0
378,2,0,0,1.0,1.0,1.0
379,2,0,0,1.0,1.0,1.0
380,2,0,0,1.0,1.0,1.0
381,1,0,1,1.0,0.5,0.5
